"Unique ID";"Name";"Nation";"Division";"Status";"Stad Cap";"Division ID"
"106844";"Kobe";"Japon";"J1 League";"Professional";"28996";"102428"
"2000469791";"Tenerife";"Espagne";"Première Division";"Professional";"21968";"2000167898"
"85";"Estudiantes (LP)";"Argentine";"1ère Division";"Professional";"32500";"102421"
"98";"Vélez";"Argentine";"1ère Division";"Professional";"49500";"102421"
"426";"Millonarios";"Colombie";"1ère Division";"Professional";"40312";"5260948"
"451";"APOEL";"Chypre";"Division A";"Professional";"22859";"692430"
"722";"Sunderland";"Angleterre";"Premier League";"Professional";"49000";"11"
"824";"Auxerre";"France";"Ligue 1 McDonald's";"Professional";"17997";"16"
"875";"Angers SCO";"France";"Ligue 1 McDonald's";"Professional";"18500";"16"
"945";"1. FC Kaiserslautern";"Allemagne";"Bundesliga 2";"Professional";"49327";"23"
"969";"Aris";"Grèce";"Super League 1";"Professional";"22574";"129650"
"1258";"Necaxa";"Mexique";"1ère Division";"Professional";"25000";"135973"
"1353";"Molde";"Norvège";"Première division";"Professional";"11249";"1300397"
"1494";"VTSC";"Portugal";"Première Ligue";"Professional";"30008";"60"
"1622";"Slovan Bratislava";"Slovaquie";"1ère Division";"Professional";"22500";"7560276"
"1952";"Partizan";"Serbie";"Super League";"Professional";"29775";"132321"
"109132";"MLS All-Stars East";"États-Unis";"-";"24";"0";"-1"
"109133";"MLS All-Stars West";"États-Unis";"-";"24";"0";"-1"
"130776";"Jeonbuk";"Corée du Sud";"K League 1";"Professional";"42477";"136407"
"1301104";"Rostov";"Russie";"Première Ligue";"Professional";"45145";"130486"
"4400014";"Vancouver";"Canada";"MLS";"Professional";"54320";"40"
"72005153";"MLS All-Stars";"États-Unis";"-";"24";"0";"-1"
"2000004793";"Mexican All Stars";"Mexique";"-";"24";"0";"-1"
"2000104564";"Birmingham City";"Angleterre";"WSL2";"Professional";"29409";"2000107193"
"2000169154";"Brøndby IF";"Danemark";"A-Liga";"Professional";"2400";"2000168609"
"2000202653";"Dijon FCO";"France";"Division 1";"Professional";"17085";"2000149107"
"2000209878";"HB Køge";"Danemark";"A-Liga";"Professional";"3000";"2000168609"
"2000211203";"São Paulo";"Brésil";"Première division";"Professional";"1500";"2000314935"
"2000228360";"INAC Kobe Leonessa";"Japon";"SOMPO WE League";"Professional";"28996";"2000225855"
"2000299287";"WH VV Jianghan Univ. FC";"Chine";"SLFC";"Professional";"200";"2000199497"
"2000320675";"Malmö FF";"Suède";"OBOS Damallsvenskan";"Professional";"22500";"2000138349"
"2000340782";"Hwacheon KSPO";"Corée du Sud";"Ligue féminine de Corée";"Semi-Professional";"3000";"2000214915"
"417";"América de Cali";"Colombie";"1ère Division";"Professional";"38648";"5260948"
"5270338";"LDU de Quito";"Équateur";"Serie A équatorienne";"Professional";"41305";"80000566"
"340";"VIT";"Brésil";"1ère Division";"Professional";"34345";"102423"
"404";"Univ. de Chile";"Chili";"1ère Division";"Professional";"22000";"5250792"
"90";"Lanús";"Argentine";"1ère Division";"Professional";"40000";"102421"
